-4.6901,9.9079,5.9924
8.4880,-8.2026,-12.9228
-3.9543,10.2301,5.0886
-1.9838,8.6135,5.8526
6.3582,-7.4468,-9.1393
11.5984,-4.4195,-7.2134
-1.2356,9.2245,4.9827
8.1400,-5.2483,-6.2902
8.1487,-10.1044,-8.2449
-4.6049,8.4035,4.1573
9.5323,-5.6723,-8.5906
6.4778,-7.6923,-8.2770
8.6446,-8.7484,-7.6573
10.7818,-4.7478,-8.8457
9.0005,-10.1247,-6.9869
8.4027,-6.0140,-6.8047
-4.6901,9.9079,5.9924
8.4880,-8.2026,-12.9228
-3.9543,10.2301,5.0886
-1.9838,8.6135,5.8526
6.3582,-7.4468,-9.1393
11.5984,-4.4195,-7.2134
-1.2356,9.2245,4.9827
8.1400,-5.2483,-6.2902
8.1487,-10.1044,-8.2449
-4.6049,8.4035,4.1573
9.5323,-5.6723,-8.5906
6.4778,-7.6923,-8.2770
8.6446,-8.7484,-7.6573
10.7818,-4.7478,-8.8457
9.0005,-10.1247,-6.9869
8.4027,-6.0140,-6.8047
-4.6901,9.9079,5.9924
8.4880,-8.2026,-12.9228
-3.9543,10.2301,5.0886
-1.9838,8.6135,5.8526
6.3582,-7.4468,-9.1393
11.5984,-4.4195,-7.2134
-1.2356,9.2245,4.9827
8.1400,-5.2483,-6.2902
8.1487,-10.1044,-8.2449
-4.6049,8.4035,4.1573
9.5323,-5.6723,-8.5906
6.4778,-7.6923,-8.2770
8.6446,-8.7484,-7.6573
10.7818,-4.7478,-8.8457
9.0005,-10.1247,-6.9869
8.4027,-6.0140,-6.8047
